country,capital,continent,description
Afghanistan,Kabul,Asia,"Afghanistan is a landlocked country in Central Asia known for its mountainous terrain and rich cultural history."
Albania,Tirana,Europe,"Albania is a Balkan country known for its diverse landscapes from coastal areas to mountainous regions."
Algeria,Algiers,Africa,"Algeria is the largest country in Africa known for its Sahara Desert and Mediterranean coastline."
Andorra,Andorra la Vella,Europe,"Andorra is a small landlocked principality in the Pyrenees mountains between France and Spain."
Angola,Luanda,Africa,"Angola is a southern African country known for its oil reserves and diverse wildlife."
Antigua and Barbuda,Saint John's,North America,"Antigua and Barbuda is a Caribbean nation consisting of two major islands known for beautiful beaches."
Argentina,Buenos Aires,South America,"Argentina is famous for tango dance, Patagonia region, and its beef production."
Armenia,Yerevan,Asia,"Armenia is a landlocked country in the South Caucasus known for its ancient Christian heritage."
Australia,Canberra,Oceania,"Australia is known for its unique wildlife, natural wonders, and the Great Barrier Reef."
Austria,Vienna,Europe,"Austria is famous for its classical music heritage, Alpine landscapes, and historic cities."
Azerbaijan,Baku,Asia,"Azerbaijan is known for its oil industry, Caspian Sea coastline, and fire temples."
Bahamas,Nassau,North America,"The Bahamas is an archipelago of islands in the Caribbean known for crystal-clear waters and coral reefs."
Bahrain,Manama,Asia,"Bahrain is a small island nation in the Persian Gulf known for its financial sector and pearl diving history."
Bangladesh,Dhaka,Asia,"Bangladesh is known for its river deltas, textile industry, and rich cultural traditions."
Barbados,Bridgetown,North America,"Barbados is a Caribbean island nation famous for its beaches, rum, and cricket culture."
Belarus,Minsk,Europe,"Belarus is a landlocked country in Eastern Europe known for its forests and Soviet-era architecture."
Belgium,Brussels,Europe,"Belgium is famous for its chocolates, waffles, beer, and as the headquarters of the European Union."
Belize,Belmopan,North America,"Belize is known for its barrier reef, Mayan ruins, and diverse ecosystems."
Benin,Porto-Novo,Africa,"Benin is a West African country known for its role in the historical slave trade and voodoo traditions."
Bhutan,Thimphu,Asia,"Bhutan is a Himalayan kingdom known for measuring Gross National Happiness and its pristine environment."
Bolivia,Sucre,South America,"Bolivia is known for its high-altitude capital, salt flats, and indigenous cultures."
